Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,4.609190,4.722299,4.609190,4.710988,3.825675,86503718
2016-12-16,4.681768,4.759059,4.658204,4.743978,3.852465,284170012
2016-12-19,4.712873,4.733609,4.628041,4.633697,3.762908,70872249
2016-12-20,4.618615,4.708160,4.600706,4.708160,3.823378,49128619
2016-12-21,4.682710,4.712873,4.609190,4.687423,3.806538,70749178
2016-12-22,4.679883,4.703447,4.645950,4.667629,3.790463,32140171
2016-12-23,4.700619,4.712873,4.661974,4.687423,3.806538,33594534
2016-12-27,4.671400,4.692136,4.659146,4.668572,3.791229,15121562
2016-12-28,4.653491,4.683653,4.610132,4.645007,3.772093,33010104
2016-12-29,4.612017,4.642180,4.587510,4.620501,3.752192,37626302
2016-12-30,4.613902,4.674227,4.590338,4.674227,3.795822,44179336
2017-01-02,4.638409,4.707217,4.636524,4.703447,3.819551,20481554
2017-01-03,4.712873,4.880651,4.709103,4.817499,3.912169,63383417
2017-01-04,4.838235,4.885364,4.789221,4.839178,3.929774,63903436
2017-01-05,4.829752,4.891962,4.802417,4.853316,3.941255,52036072
2017-01-06,4.840120,4.881594,4.811843,4.880651,3.963453,29360034
2017-01-09,4.882536,4.891962,4.815613,4.825982,3.919058,58501703
2017-01-10,4.846718,4.849546,4.795819,4.821269,3.915231,41206438
2017-01-11,4.836350,4.842948,4.760944,4.779796,3.881552,57163594
2017-01-12,4.760002,4.821269,4.712873,4.770370,3.873897,52386979
2017-01-13,4.790164,4.863685,4.760944,4.853316,3.941255,92058600
2017-01-16,4.800532,4.826924,4.774140,4.774140,3.876959,29747765
2017-01-17,4.760002,4.819384,4.737380,4.752461,3.859354,41517982
2017-01-18,4.788279,4.792992,4.736437,4.768485,3.872366,65011121
2017-01-19,4.795819,4.840120,4.746806,4.794877,3.893799,175771207
2017-01-20,4.777910,4.853316,4.761887,4.838235,3.929008,51000876
2017-01-23,4.802417,4.814671,4.741150,4.760002,3.865477,191775036
2017-01-24,4.778853,4.866513,4.766600,4.866513,3.951972,405452414
2017-01-25,4.967368,5.121950,4.957942,5.062568,4.111183,444229329
2017-01-26,5.137031,5.174734,5.036176,5.054085,4.104294,194957845
2017-01-27,5.062568,5.065396,4.973966,5.049372,4.100468,86294790
2017-01-30,4.995645,5.013554,4.890077,4.904215,4.023902,111323319
2017-01-31,4.901388,4.989990,4.853316,4.853316,3.982140,112794336
2017-02-01,4.910814,4.946631,4.865570,4.907043,4.026223,348185284
2017-02-02,4.957942,5.003186,4.884421,4.985277,4.090414,333694414
2017-02-03,5.014497,5.049372,4.976794,5.028635,4.125989,49775890
2017-02-06,5.009784,5.050315,4.891962,4.922124,4.038597,105916830
2017-02-07,4.882536,4.899503,4.821269,4.824097,3.958166,269239806
2017-02-08,4.827867,4.854259,4.648778,4.757174,3.903255,111539848
2017-02-09,4.749633,4.832580,4.704390,4.832580,3.965127,63312126
2017-02-10,4.852374,4.866513,4.722299,4.751518,3.898615,43992968
2017-02-13,4.785451,4.852374,4.743978,4.836350,3.968220,48978914
2017-02-14,4.827867,4.896675,4.809015,4.874053,3.999155,50018396
2017-02-15,4.920239,4.978679,4.902330,4.957942,4.067986,60524946
2017-02-16,4.948517,4.967368,4.887249,4.907986,4.026998,46140121
2017-02-17,4.902330,4.920239,4.786394,4.844833,3.975180,48520492
2017-02-20,4.880651,4.901388,4.833522,4.866513,3.992968,42186391
2017-02-21,4.853316,4.934378,4.807130,4.901388,4.021583,45010420
2017-02-22,4.923067,4.945689,4.782623,4.809958,3.946565,67737981
2017-02-23,4.837293,4.866513,4.796762,4.822211,3.956618,51174288
2017-02-24,4.834465,4.861800,4.716643,4.759059,3.904802,71930757
2017-02-27,4.794877,4.799590,4.759059,4.766600,3.910990,26222116
2017-02-28,4.811843,4.873111,4.776025,4.858029,3.986007,91186596
2017-03-01,4.882536,5.013554,4.882536,5.013554,4.113615,72885739
2017-03-02,5.013554,5.023922,4.928722,4.928722,4.044010,69603451
2017-03-03,4.915526,5.026750,4.886307,5.009784,4.110522,69336649
2017-03-06,4.972081,5.028635,4.957942,4.980564,4.086547,40010166
2017-03-07,4.996588,5.004128,4.944746,4.983392,4.088867,51612440
2017-03-08,4.983392,5.061625,4.971138,5.035233,4.131402,51478085
2017-03-09,5.028635,5.158711,5.019210,5.158711,4.232717,122098459
2017-03-10,5.146457,5.264279,5.118180,5.174734,4.245863,100427346
2017-03-13,5.179447,5.181332,5.111582,5.147400,4.223436,51781944
2017-03-14,5.137031,5.146457,5.045602,5.052200,4.145324,52290641
2017-03-15,5.058798,5.150227,5.053142,5.121008,4.201780,50846337
2017-03-16,5.193586,5.331202,5.185103,5.311408,4.358004,150456475
2017-03-17,5.278418,5.375503,5.271820,5.325546,4.369604,174272280
2017-03-20,5.284073,5.341570,5.269934,5.312350,4.358777,63487708
2017-03-21,5.363249,5.442426,5.301982,5.332144,4.375018,66535758
2017-03-22,5.280303,5.399067,5.214323,5.354766,4.393579,124480005
2017-03-23,5.370790,5.419804,5.321776,5.395297,4.426835,68257470
2017-03-24,5.388699,5.413206,5.344398,5.386814,4.419875,91338818
2017-03-27,5.308580,5.359479,5.287843,5.339685,4.381205,77956846
2017-03-28,5.382101,5.429230,5.343455,5.429230,4.454676,52390717
2017-03-29,5.429230,5.462220,5.338742,5.393412,4.425288,82810414
2017-03-30,5.384929,5.416976,5.353824,5.415091,4.443076,38734427
2017-03-31,5.378331,5.415091,5.353824,5.415091,4.443076,64036987
2017-04-03,5.416034,5.416034,5.301039,5.320833,4.365737,43910119
2017-04-04,5.302925,5.343455,5.233174,5.337800,4.379659,54288772
2017-04-05,5.344398,5.456564,5.338742,5.372675,4.408274,52545878
2017-04-06,5.330259,5.440540,5.288786,5.429230,4.454676,53697838
2017-04-07,5.372675,5.448081,5.372675,5.443368,4.466277,45253344
2017-04-10,5.417919,5.428287,5.351938,5.351938,4.391259,68295090
2017-04-11,5.316121,5.352881,5.252968,5.311408,4.358004,66068981
2017-04-12,5.334972,5.376445,5.241657,5.243542,4.302320,78692898
2017-04-13,5.244485,5.244485,5.121008,5.171907,4.243544,79064014
2017-04-18,5.221863,5.221863,5.122893,5.160596,4.234263,158189577
2017-04-19,5.181332,5.314235,5.170964,5.314235,4.360323,430303549
2017-04-20,5.304810,5.399067,5.287843,5.334972,4.377338,240884584
2017-04-21,5.347226,5.400952,5.279360,5.344398,4.385072,130732872
2017-04-24,5.561190,5.655448,5.534798,5.655448,4.640289,292260548
2017-04-25,5.655448,5.740279,5.609261,5.693150,4.671223,102365855
2017-04-26,5.749705,5.760073,5.610204,5.702576,4.678957,242022657
2017-04-27,5.655448,5.664873,5.584754,5.600778,4.637593,208012447
2017-04-28,5.566845,5.721428,5.537626,5.643194,4.672713,162998980
2017-05-02,5.663931,5.719543,5.655448,5.708232,4.726567,198344809
2017-05-03,5.695978,5.724255,5.672414,5.724255,4.739834,196120994
2017-05-04,5.736509,5.819455,5.728026,5.813800,4.813979,266285988
2017-05-05,5.795891,5.935392,5.772327,5.935392,4.914661,260360930
2017-05-08,5.961784,5.985349,5.808145,5.905230,4.889686,146119096
2017-05-09,5.938220,5.961784,5.797776,5.804374,4.806175,64852815
2017-05-10,5.777982,5.829824,5.695978,5.780810,4.786663,74686246
2017-05-11,5.795891,5.807202,5.667701,5.712002,4.729688,63181498
2017-05-12,5.702576,5.745935,5.662046,5.681840,4.704713,37713167
2017-05-15,5.730853,5.791178,5.702576,5.791178,4.795248,40410711
2017-05-16,5.792121,5.809087,5.730853,5.782695,4.788225,40564994
2017-05-17,5.744050,5.786465,5.599836,5.615859,4.650080,70673417
2017-05-18,5.476358,5.540453,5.308580,5.408493,4.478376,122945589
2017-05-19,5.448081,5.509348,5.411321,5.498038,4.552520,99924950
2017-05-22,5.495210,5.513119,5.380216,5.380216,4.454961,63782894
2017-05-23,5.371733,5.518774,5.350053,5.503693,4.557203,49788561
2017-05-24,5.521602,5.573444,5.483899,5.537626,4.585300,49118573
2017-05-25,5.598893,5.607376,5.532913,5.547051,4.593104,32089841
2017-05-26,5.522544,5.537626,5.422632,5.530085,4.579056,39763261
2017-05-29,5.499923,5.547994,5.488612,5.527257,4.576714,17255448
2017-05-30,5.452794,5.569673,5.445253,5.467875,4.527544,66427911
2017-05-31,5.466933,5.510291,5.422632,5.449024,4.511935,83593764
2017-06-01,5.451851,5.471645,5.388699,5.457507,4.518960,78852778
2017-06-02,5.526315,5.578156,5.444311,5.485784,4.542374,52374633
2017-06-05,5.456564,5.494267,5.397182,5.476358,4.534569,27872737
2017-06-06,5.424517,5.495210,5.416034,5.466933,4.526764,47850482
2017-06-07,5.325546,5.511234,5.283131,5.418861,4.486960,234802219
2017-06-08,5.387756,5.702576,5.382101,5.702576,4.721884,129428890
